Phase,名稱,之前,現在（建議）
phase 1,基础平台-Sprint1,25,50%
Phase 2,数据管道-Sprint1,80,
Phase 3,分析看板-Sprint1,, 60 
Phase 4,权限模块-Sprint1,25,105%
Phase 5,报表引擎-Sprint1,100%,50%
Phase 6,API网关-Sprint1,30%,105%
Phase 7,缓存层-Sprint1,,
Phase 8,日志聚合-Sprint1,30%,
Phase 1,告警规则-Sprint1,100%,
Phase 2,批处理-Sprint1,10,90
Phase 3,基础平台-Sprint2,30%, 60 
Phase 4,数据管道-Sprint2,100%,0.5
Phase 5,分析看板-Sprint2,80, 60 
Phase 6,权限模块-Sprint2,,0.5
Phase 7,报表引擎-Sprint2,25,105%
Phase 8,API网关-Sprint2,100%,105%
Phase 1,缓存层-Sprint2,0.35,0.5
phase 2,日志聚合-Sprint2,80,50%
Phase 3,告警规则-Sprint2,10,105%
Phase 4,批处理-Sprint2,100%,105%
Phase 5,基础平台-Sprint3,80,0.5
Phase 6,数据管道-Sprint3,,105%
Phase 7,分析看板-Sprint3,30%,
Phase 8,权限模块-Sprint3,80,105%
Phase 1,报表引擎-Sprint3,,105%
Phase 2,API网关-Sprint3,100%,90
Phase 3,缓存层-Sprint3,10,0.5
Phase 4,日志聚合-Sprint3, 45% ,0.5
Phase 5,告警规则-Sprint3,0.35,
Phase 6,批处理-Sprint3,80,105%
Phase 7,基础平台-Sprint4, 45% ,
Phase 8,数据管道-Sprint4, 45% ,75
Phase 1,分析看板-Sprint4,100%,90
Phase 2,权限模块-Sprint4,,0.5
phase 3,报表引擎-Sprint4,30%,
Phase 4,API网关-Sprint4,30%,0.5
Phase 5,缓存层-Sprint4,100%,90
Phase 6,日志聚合-Sprint4,25,
Phase 7,告警规则-Sprint4,0.35,
Phase 8,批处理-Sprint4,10,20%
Phase 1,基础平台-Sprint5,10, 60 
Phase 2,数据管道-Sprint5,80, 60 
Phase 3,分析看板-Sprint5,,90
Phase 4,权限模块-Sprint5,100%,20%
Phase 5,报表引擎-Sprint5,0.35,
Phase 6,API网关-Sprint5, 45% ,75
Phase 7,缓存层-Sprint5,25,50%
Phase 8,日志聚合-Sprint5,25, 60 
Phase 1,告警规则-Sprint5, 45% ,20%
Phase 2,批处理-Sprint5,25,20%
,基础平台-Sprint6,100%,75
phase 4,数据管道-Sprint6,80,50%
Phase 5,分析看板-Sprint6,25,90
Phase 6,权限模块-Sprint6,0.35,105%
Phase 7,报表引擎-Sprint6,80,20%
Phase 8,API网关-Sprint6, 45% ,75
Phase 1,缓存层-Sprint6,30%,90
Phase 2,日志聚合-Sprint6, 45% ,105%
Phase 3,告警规则-Sprint6,80,
Phase 4,批处理-Sprint6, 45% ,0.5
Phase 5,基础平台-Sprint7, 45% ,50%
Phase 6,数据管道-Sprint7,0.35,75
Phase 7,分析看板-Sprint7,30%,105%
Phase 8,权限模块-Sprint7,0.35,90
Phase 1,报表引擎-Sprint7,,50%
Phase 2,API网关-Sprint7,,105%
Phase 3,缓存层-Sprint7,25,75
Phase 4,日志聚合-Sprint7,25, 60 
phase 5,告警规则-Sprint7, 45% ,75
Phase 6,批处理-Sprint7, 45% ,90
Phase 7,基础平台-Sprint8,100%,
Phase 8,数据管道-Sprint8,,90
Phase 1,分析看板-Sprint8,100%,0.5
Phase 2,权限模块-Sprint8,10,75
Phase 3,报表引擎-Sprint8,25,
Phase 4,API网关-Sprint8,,105%
Phase 5,缓存层-Sprint8,0.35,50%
Phase 6,日志聚合-Sprint8,,
Phase 7,告警规则-Sprint8,30%,105%
Phase 8,批处理-Sprint8,30%,
Phase 1,基础平台-Sprint9,25,50%
Phase 2,数据管道-Sprint9,0.35,105%
Phase 3,分析看板-Sprint9,,90
Phase 4,权限模块-Sprint9,10,
Phase 5,报表引擎-Sprint9, 45% ,75
phase 6,API网关-Sprint9,,75
Phase 7,缓存层-Sprint9,100%,
Phase 8,日志聚合-Sprint9,25,105%
Phase 1,告警规则-Sprint9,100%,0.5
Phase 2,批处理-Sprint9,100%,20%
Phase 3,基础平台-Sprint10,10,50%
Phase 4,数据管道-Sprint10,25,50%
Phase 5,分析看板-Sprint10,100%,0.5
Phase 6,权限模块-Sprint10,25,
Phase 7,报表引擎-Sprint10,,
Phase 8,API网关-Sprint10,10, 60 
Phase 1,缓存层-Sprint10,100%, 60 
Phase 2,日志聚合-Sprint10,80,75
Phase 3,告警规则-Sprint10,,105%
Phase 4,批处理-Sprint10,10,105%
Phase 5,基础平台-Sprint11,30%,50%
Phase 6,数据管道-Sprint11,25,
phase 7,分析看板-Sprint11, 45% ,20%
Phase 8,权限模块-Sprint11,10,75
Phase 1,报表引擎-Sprint11,,20%
Phase 2,API网关-Sprint11,30%, 60 
Phase 3,缓存层-Sprint11,100%,50%
Phase 4,日志聚合-Sprint11,100%,90
Phase 5,告警规则-Sprint11,10,90
Phase 6,批处理-Sprint11,100%,75
Phase 7,基础平台-Sprint12, 45% ,
Phase 8,数据管道-Sprint12,80,
Phase 1,分析看板-Sprint12,30%,50%
Phase 2,权限模块-Sprint12,0.35,50%
Phase 3,报表引擎-Sprint12,30%,75
