Phase,名稱,之前,現在（建議）
phase 1,基础平台-Sprint1,25,50%
Phase 2,数据管道-Sprint1,80,
Phase 3,分析看板-Sprint1,, 60 
Phase 4,权限模块-Sprint1,25,105%
Phase 5,报表引擎-Sprint1,100%,50%
Phase 6,API网关-Sprint1,30%,105%
Phase 7,缓存层-Sprint1,,
Phase 8,日志聚合-Sprint1,30%,
Phase 1,告警规则-Sprint1,100%,
Phase 2,批处理-Sprint1,10,90
Phase 3,基础平台-Sprint2,30%, 60 
Phase 4,数据管道-Sprint2,100%,0.5
Phase 5,分析看板-Sprint2,80, 60 
Phase 6,权限模块-Sprint2,,0.5
Phase 7,报表引擎-Sprint2,25,105%
Phase 8,API网关-Sprint2,100%,105%
Phase 1,缓存层-Sprint2,0.35,0.5
phase 2,日志聚合-Sprint2,80,50%
Phase 3,告警规则-Sprint2,10,105%
Phase 4,批处理-Sprint2,100%,105%
Phase 5,基础平台-Sprint3,80,0.5
Phase 6,数据管道-Sprint3,,105%
Phase 7,分析看板-Sprint3,30%,
Phase 8,权限模块-Sprint3,80,105%
Phase 1,报表引擎-Sprint3,,105%
Phase 2,API网关-Sprint3,100%,90
Phase 3,缓存层-Sprint3,10,0.5
Phase 4,日志聚合-Sprint3, 45% ,0.5
Phase 5,告警规则-Sprint3,0.35,
Phase 6,批处理-Sprint3,80,105%
Phase 7,基础平台-Sprint4, 45% ,
Phase 8,数据管道-Sprint4, 45% ,75
Phase 1,分析看板-Sprint4,100%,90
Phase 2,权限模块-Sprint4,,0.5
phase 3,报表引擎-Sprint4,30%,
Phase 4,API网关-Sprint4,30%,0.5
Phase 5,缓存层-Sprint4,100%,90
Phase 6,日志聚合-Sprint4,25,
Phase 7,告警规则-Sprint4,0.35,
Phase 8,批处理-Sprint4,10,20%
Phase 1,基础平台-Sprint5,10, 60 
Phase 2,数据管道-Sprint5,80, 60 
Phase 3,分析看板-Sprint5,,90
Phase 4,权限模块-Sprint5,100%,20%
Phase 5,报表引擎-Sprint5,0.35,
Phase 6,API网关-Sprint5, 45% ,75
Phase 7,缓存层-Sprint5,25,50%
Phase 8,日志聚合-Sprint5,25, 60 
Phase 1,告警规则-Sprint5, 45% ,20%
Phase 2,批处理-Sprint5,25,20%
,基础平台-Sprint6,100%,75
phase 4,数据管道-Sprint6,80,50%
Phase 5,分析看板-Sprint6,25,90
Phase 6,权限模块-Sprint6,0.35,105%
Phase 7,报表引擎-Sprint6,80,20%
